Position,Track Name,Artist,URL,Date,trackID,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,cases
50,Future,Red Velvet,https://open.spotify.com/track/2gvlPqqngL3BppFCwLXnVc,2020-12-03,2gvlPqqngL3BppFCwLXnVc,0.7170000000000001,0.868,7,-3.073,1,0.04,0.43799999999999994,0.0,0.14800000000000002,0.552,100.005,215880,4,65368134.0
43,Why Not?,LOONA,https://open.spotify.com/track/6yGQ86UppYULzTCxAWgwVN,2020-11-12,6yGQ86UppYULzTCxAWgwVN,0.8059999999999999,0.934,2,-0.836,1,0.11,0.10400000000000001,0.00108,0.0618,0.444,128.016,205520,4,52914392.0
44,Trap Anthem,MC Virgins,https://open.spotify.com/track/0CJgUQ8UemK2htS73Ye5U8,2020-11-12,0CJgUQ8UemK2htS73Ye5U8,0.8190000000000001,0.8190000000000001,6,-5.531000000000001,0,0.17600000000000002,0.106,0.0,0.10800000000000001,0.736,160.005,133018,4,52914392.0
42,Trap Anthem,MC Virgins,https://open.spotify.com/track/0CJgUQ8UemK2htS73Ye5U8,2020-11-19,0CJgUQ8UemK2htS73Ye5U8,0.8190000000000001,0.8190000000000001,6,-5.531000000000001,0,0.17600000000000002,0.106,0.0,0.10800000000000001,0.736,160.005,133018,4,57061735.0
35,Trap Anthem,MC Virgins,https://open.spotify.com/track/0CJgUQ8UemK2htS73Ye5U8,2020-11-26,0CJgUQ8UemK2htS73Ye5U8,0.8190000000000001,0.8190000000000001,6,-5.531000000000001,0,0.17600000000000002,0.106,0.0,0.10800000000000001,0.736,160.005,133018,4,61139959.0
50,Só Tem Eu,Zé Felipe,https://open.spotify.com/track/1X0MaGErD8rcspqQs9s2m0,2020-11-12,1X0MaGErD8rcspqQs9s2m0,0.797,0.531,1,-10.554,1,0.0472,0.114,0.0,0.10400000000000001,0.8690000000000001,129.995,164308,4,52914392.0
39,Só Tem Eu,Zé Felipe,https://open.spotify.com/track/1X0MaGErD8rcspqQs9s2m0,2020-11-19,1X0MaGErD8rcspqQs9s2m0,0.797,0.531,1,-10.554,1,0.0472,0.114,0.0,0.10400000000000001,0.8690000000000001,129.995,164308,4,57061735.0
2,Home,Edith Whiskers,https://open.spotify.com/track/18V1UiYRvWYwn01CRDbbuR,2020-11-19,18V1UiYRvWYwn01CRDbbuR,0.72,0.19699999999999998,2,-12.494000000000002,1,0.0361,0.981,0.00187,0.1,0.284,120.024,197360,4,57061735.0
2,Home,Edith Whiskers,https://open.spotify.com/track/18V1UiYRvWYwn01CRDbbuR,2020-11-26,18V1UiYRvWYwn01CRDbbuR,0.72,0.19699999999999998,2,-12.494000000000002,1,0.0361,0.981,0.00187,0.1,0.284,120.024,197360,4,61139959.0
9,Home,Edith Whiskers,https://open.spotify.com/track/18V1UiYRvWYwn01CRDbbuR,2020-12-03,18V1UiYRvWYwn01CRDbbuR,0.72,0.19699999999999998,2,-12.494000000000002,1,0.0361,0.981,0.00187,0.1,0.284,120.024,197360,4,65368134.0
11,Home,Edith Whiskers,https://open.spotify.com/track/18V1UiYRvWYwn01CRDbbuR,2020-12-10,18V1UiYRvWYwn01CRDbbuR,0.72,0.19699999999999998,2,-12.494000000000002,1,0.0361,0.981,0.00187,0.1,0.284,120.024,197360,4,70564179.0
26,Home,Edith Whiskers,https://open.spotify.com/track/18V1UiYRvWYwn01CRDbbuR,2020-12-17,18V1UiYRvWYwn01CRDbbuR,0.72,0.19699999999999998,2,-12.494000000000002,1,0.0361,0.981,0.00187,0.1,0.284,120.024,197360,4,75069012.0
32,Home,Edith Whiskers,https://open.spotify.com/track/18V1UiYRvWYwn01CRDbbuR,2020-12-24,18V1UiYRvWYwn01CRDbbuR,0.72,0.19699999999999998,2,-12.494000000000002,1,0.0361,0.981,0.00187,0.1,0.284,120.024,197360,4,79495656.0
47,Home,Edith Whiskers,https://open.spotify.com/track/18V1UiYRvWYwn01CRDbbuR,2020-12-31,18V1UiYRvWYwn01CRDbbuR,0.72,0.19699999999999998,2,-12.494000000000002,1,0.0361,0.981,0.00187,0.1,0.284,120.024,197360,4,83558756.0
5,Dancing in My Room,347aidan,https://open.spotify.com/track/6Pgmqg15yVexuOgtzuxwoX,2020-11-19,6Pgmqg15yVexuOgtzuxwoX,0.98,0.413,8,-11.052,0,0.10099999999999999,0.6709999999999999,7.950000000000001e-05,0.17,0.764,119.993,180139,4,57061735.0
6,Dancing in My Room,347aidan,https://open.spotify.com/track/6Pgmqg15yVexuOgtzuxwoX,2020-11-26,6Pgmqg15yVexuOgtzuxwoX,0.98,0.413,8,-11.052,0,0.10099999999999999,0.6709999999999999,7.950000000000001e-05,0.17,0.764,119.993,180139,4,61139959.0
8,Dancing in My Room,347aidan,https://open.spotify.com/track/6Pgmqg15yVexuOgtzuxwoX,2020-12-03,6Pgmqg15yVexuOgtzuxwoX,0.98,0.413,8,-11.052,0,0.10099999999999999,0.6709999999999999,7.950000000000001e-05,0.17,0.764,119.993,180139,4,65368134.0
14,Dancing in My Room,347aidan,https://open.spotify.com/track/6Pgmqg15yVexuOgtzuxwoX,2020-12-10,6Pgmqg15yVexuOgtzuxwoX,0.98,0.413,8,-11.052,0,0.10099999999999999,0.6709999999999999,7.950000000000001e-05,0.17,0.764,119.993,180139,4,70564179.0
22,Dancing in My Room,347aidan,https://open.spotify.com/track/6Pgmqg15yVexuOgtzuxwoX,2020-12-17,6Pgmqg15yVexuOgtzuxwoX,0.98,0.413,8,-11.052,0,0.10099999999999999,0.6709999999999999,7.950000000000001e-05,0.17,0.764,119.993,180139,4,75069012.0
31,Dancing in My Room,347aidan,https://open.spotify.com/track/6Pgmqg15yVexuOgtzuxwoX,2020-12-24,6Pgmqg15yVexuOgtzuxwoX,0.98,0.413,8,-11.052,0,0.10099999999999999,0.6709999999999999,7.950000000000001e-05,0.17,0.764,119.993,180139,4,79495656.0
44,Dancing in My Room,347aidan,https://open.spotify.com/track/6Pgmqg15yVexuOgtzuxwoX,2020-12-31,6Pgmqg15yVexuOgtzuxwoX,0.98,0.413,8,-11.052,0,0.10099999999999999,0.6709999999999999,7.950000000000001e-05,0.17,0.764,119.993,180139,4,83558756.0
9,Rät,Penelope Scott,https://open.spotify.com/track/25z6kpmIwkCUqk2IORrJ5v,2020-11-19,25z6kpmIwkCUqk2IORrJ5v,0.608,0.45,5,-13.290999999999999,0,0.248,0.322,0.000122,0.147,0.303,143.846,194165,4,57061735.0
12,Rät,Penelope Scott,https://open.spotify.com/track/25z6kpmIwkCUqk2IORrJ5v,2020-11-26,25z6kpmIwkCUqk2IORrJ5v,0.608,0.45,5,-13.290999999999999,0,0.248,0.322,0.000122,0.147,0.303,143.846,194165,4,61139959.0
