,Position,Track Name,Artist,Date,trackID,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
253,21,SUGAR,BROCKHAMPTON,2020-01-09,6U0FIYXCQ3TGrk4tFpLrEA,0.453,0.538,1,-8.212,1,0.0638,0.449,0.0,0.19,0.516,122.973,204533,4
254,15,SUGAR,BROCKHAMPTON,2020-01-16,6U0FIYXCQ3TGrk4tFpLrEA,0.453,0.538,1,-8.212,1,0.0638,0.449,0.0,0.19,0.516,122.973,204533,4
255,13,SUGAR,BROCKHAMPTON,2020-01-23,6U0FIYXCQ3TGrk4tFpLrEA,0.453,0.538,1,-8.212,1,0.0638,0.449,0.0,0.19,0.516,122.973,204533,4
256,19,SUGAR,BROCKHAMPTON,2020-01-30,6U0FIYXCQ3TGrk4tFpLrEA,0.453,0.538,1,-8.212,1,0.0638,0.449,0.0,0.19,0.516,122.973,204533,4
257,24,SUGAR,BROCKHAMPTON,2020-02-06,6U0FIYXCQ3TGrk4tFpLrEA,0.453,0.538,1,-8.212,1,0.0638,0.449,0.0,0.19,0.516,122.973,204533,4
258,43,SUGAR,BROCKHAMPTON,2020-02-13,6U0FIYXCQ3TGrk4tFpLrEA,0.453,0.538,1,-8.212,1,0.0638,0.449,0.0,0.19,0.516,122.973,204533,4
259,22,Girassol,Priscilla Alcantara,2020-01-09,22rcaYTa2UgcLCbeO0NoNj,0.333,0.512,9,-8.204,1,0.0528,0.129,0.0,0.111,0.152,152.489,224725,3
260,45,Girassol,Priscilla Alcantara,2020-01-16,22rcaYTa2UgcLCbeO0NoNj,0.333,0.512,9,-8.204,1,0.0528,0.129,0.0,0.111,0.152,152.489,224725,3
261,25,Make It With You,Ben&Ben,2020-01-09,2Mo4pOpCYXOu33856sMQLh,0.558,0.458,4,-10.711,1,0.0485,0.7,2.11e-05,0.186,0.342,86.877,209783,4
262,21,Make It With You,Ben&Ben,2020-01-16,2Mo4pOpCYXOu33856sMQLh,0.558,0.458,4,-10.711,1,0.0485,0.7,2.11e-05,0.186,0.342,86.877,209783,4
263,21,Make It With You,Ben&Ben,2020-01-23,2Mo4pOpCYXOu33856sMQLh,0.558,0.458,4,-10.711,1,0.0485,0.7,2.11e-05,0.186,0.342,86.877,209783,4
264,31,Make It With You,Ben&Ben,2020-01-30,2Mo4pOpCYXOu33856sMQLh,0.558,0.458,4,-10.711,1,0.0485,0.7,2.11e-05,0.186,0.342,86.877,209783,4
265,40,Make It With You,Ben&Ben,2020-02-06,2Mo4pOpCYXOu33856sMQLh,0.558,0.458,4,-10.711,1,0.0485,0.7,2.11e-05,0.186,0.342,86.877,209783,4
266,29,Sigues Con El,Dímelo Flow,2020-01-09,7sQKy5vlPQllr0k9IjYJv3,0.883,0.668,9,-2.957,1,0.113,0.11,0.000529,0.0734,0.676,87.972,226533,4
267,19,Sigues Con El,Dímelo Flow,2020-01-16,7sQKy5vlPQllr0k9IjYJv3,0.883,0.668,9,-2.957,1,0.113,0.11,0.000529,0.0734,0.676,87.972,226533,4
268,18,Sigues Con El,Dímelo Flow,2020-01-23,7sQKy5vlPQllr0k9IjYJv3,0.883,0.668,9,-2.957,1,0.113,0.11,0.000529,0.0734,0.676,87.972,226533,4
269,27,Sigues Con El,Dímelo Flow,2020-01-30,7sQKy5vlPQllr0k9IjYJv3,0.883,0.668,9,-2.957,1,0.113,0.11,0.000529,0.0734,0.676,87.972,226533,4
270,28,Sigues Con El,Dímelo Flow,2020-02-06,7sQKy5vlPQllr0k9IjYJv3,0.883,0.668,9,-2.957,1,0.113,0.11,0.000529,0.0734,0.676,87.972,226533,4
271,32,Falling,Harry Styles,2020-01-09,1ZMiCix7XSAbfAJlEZWMCp,0.567,0.267,4,-6.502,1,0.0299,0.839,1.46e-06,0.089,0.0592,110.011,240133,4
272,33,"Wondering - From ""High School Musical: The Musical: The Series""",Olivia Rodrigo,2020-01-09,6GfTYfb5eBLN1p1ByOsPmi,0.469,0.444,6,-7.064,1,0.0396,0.808,0.0,0.0932,0.221,129.385,225382,4
273,23,"Wondering - From ""High School Musical: The Musical: The Series""",Olivia Rodrigo,2020-01-16,6GfTYfb5eBLN1p1ByOsPmi,0.469,0.444,6,-7.064,1,0.0396,0.808,0.0,0.0932,0.221,129.385,225382,4
274,37,"Wondering - From ""High School Musical: The Musical: The Series""",Olivia Rodrigo,2020-01-23,6GfTYfb5eBLN1p1ByOsPmi,0.469,0.444,6,-7.064,1,0.0396,0.808,0.0,0.0932,0.221,129.385,225382,4
275,34,Futsal Shuffle 2020,Lil Uzi Vert,2020-01-09,2Ec33AVlkTTq8BHFgBTdQs,0.881,0.457,7,-8.191,0,0.156,0.0327,0.0,0.231,0.296,136.97,198913,4
